iata,longitude,latitude,region
AWM,-90.23439789,35.13510132,Other
AWN,139.259906,-26.488959,Other
AWP,137.75,-20.5,Other
AWR,144.853292,-4.122278,Other
AWZ,48.762001,31.3374,Atlantic
AXA,-63.05383,18.204773,Caribbean
AXB,-75.90034,44.312002,Other
AXC,145.249504,-22.95788,Other
AXD,25.956301,40.8559,Atlantic
AXE,-52.372862,-26.875067,Other
AXF,105.58858,38.74831,Pacific
AXG,-94.271836,43.078104,Other
AXJ,130.158997,32.482498,Pacific
AXK,46.826199,14.5513,Other
AXL,136.7100067,-19.06019974,Other
AXM,-75.7664,4.45278,Central
AXN,-95.394699,45.866299,Other
AXO,124.219108,-8.244832,Other
AXP,-73.970901,22.441799,Caribbean
AXR,-146.6170044,-15.2482996,Pacific
AXS,-99.3385,34.697952,Other
AXT,140.218994,39.615601,Pacific
AXU,38.7728,14.1468,Atlantic
AXV,-84.29889679,40.49340057,Other
AXX,-105.290001,36.422001,Domestic
AYA,-75.15,8.3,Other
AYC,-73.612866,8.602149,Other
AYD,136.078995,-19.2908,Other
AYG,-73.9333,1.54417,Other
AYI,-72.266667,-0.383333,Other
AYJ,82.155295,26.751283,Atlantic
AYK,66.95279694,50.3185997,Other
AYL,135.5350685,-18.01807903,Other
AYM,54.6103,24.467,Other
AYN,114.344002,36.1339,Other
AYO,-56.856791,-27.378379,Other
AYP,-74.204399,-13.1548,South
AYQ,130.97703,-25.185913,Pacific
AYR,147.324495,-19.595832,Other
AYS,-82.39550018,31.24909973,Other
AYT,30.800501,36.898701,Atlantic
AYU,145.9041667,-6.338055556,Other
AYW,132.464082,-1.159779,Other
AYX,-73.766502,-10.7291,Other
AYY,81.82388889,6.86,Other
AZA,-111.654999,33.3078,Domestic
AZB,149.3383333,-10.29916667,Other
AZD,54.2765007,31.9048996,Atlantic
AZG,-102.393997,19.093399,Other
AZH,83.118333,26.153333,Other
AZI,54.458099,24.428301,Other
AZJ,119.718683,32.23649,Other
AZL,-58.866935,-13.465528,Other
AZN,72.293999,40.727699,Atlantic
AZO,-85.55210114,42.23490143,Domestic
AZP,-99.291183,19.574155,Other
AZR,-0.186414,27.837601,Atlantic
AZS,-69.737405,19.269259,Caribbean
AZT,-73.284444,6.767724,Other
AZZ,13.1161,-7.86222,Other
BAA,151.0079956,-5.330560207,Other
BAB,-121.436996,39.136101,Other
BAC,-72.966667,4.583333,Other
BAD,-93.662697,32.501801,Other
BAE,6.608831,44.387198,Other
BAF,-72.715599,42.157799,Other
BAG,120.619949,16.375034,Other
BAH,50.63764,26.267295,Atlantic
BAI,-83.330171,9.163949,Other
BAJ,149.1333333,-4.883333333,Other
BAL,41.11660004,37.92900085,Atlantic
BAM,-116.8740005,40.59899902,Other
BAN,20.414891,-4.315802,Other
BAQ,-74.7808,10.8896,Central
BAR,110.452766,19.140951,Pacific
BAS,155.886656,-6.990745,Pacific
BAT,-48.594125,-20.584631,South
BAV,109.997002,40.560001,Pacific
BAX,83.53849792,53.36380005,Atlantic
BAY,23.464445,47.658444,Atlantic
BAZ,-62.918603,-0.981191,South
BBA,-71.689499,-45.915968,South
BBB,-95.650597,45.331902,Other
BBC,-95.863503,28.973301,Other
BBD,-99.324732,31.178931,Other
BBG,172.811005,3.08583,Pacific
BBH,12.710515,54.338253,Other
BBI,85.817802,20.2444,Atlantic
BBJ,6.565,49.945278,Other
BBK,25.162399,-17.832899,Atlantic
BBL,141.809458,-27.405633,Pacific
BBM,103.223999,13.0956,Other
BBN,115.478548,3.734648,Pacific
BBO,44.936723,10.385035,Other
BBP,-1.10944,50.678101,Other
BBQ,-61.828602,17.635799,Caribbean
BBR,-61.742928,16.013648,Other
BBS,-0.8475,51.323898,Other
BBT,15.78639984,4.221580029,Other
BBU,26.1021,44.503201,Atlantic
BBV,-6.923961639,4.643413067,Other
BBW,-99.64219666,41.43650055,Other
BBX,-75.26509857,40.13750076,Other
BBY,20.64992,5.847012,Other
BBZ,23.10559,-13.535996,Other
BCA,-74.5062027,20.36529922,Other
BCB,-80.40779877,37.20759964,Other
BCC,-156.1494541,63.57331604,Other
BCD,123.014999,10.7764,Pacific
BCE,-112.1449966,37.70640183,Other
BCF,18.2670002,6.517000198,Other
BCG,-58.961786,7.640212,Other
BCH,126.399981,-8.486479,Other
BCI,145.302086,-23.566268,Pacific
BCJ,104.459701,31.581474,Other
BCK,144.1690063,-17.38829994,Other
BCL,-83.585602,10.7687,Other
BCM,26.910299,46.5219,Atlantic
BCN,2.07846,41.2971,Atlantic
BCO,36.55,5.783333,Atlantic
BCP,146.4925,-5.863611111,Other
BCQ,14.272,27.653,Other
BCR,-67.312401,-8.83456,Other
BCS,-90.021608,29.866078,Other
BCT,-80.107697,26.3785,Other
BCU,9.744,10.482833,Atlantic
BCV,-88.776496,17.269603,Other
BCW,35.438301,-21.8533,Other
BCX,58.340113,53.938389,Other
BCZ,136.2016667,-13.78083333,Other
BDA,-64.678703,32.363998,Caribbean
BDB,152.322612,-24.905039,Pacific
BDC,-45.215833,-5.5025,Other
BDD,142.173665,-10.14955,Pacific
BDE,-94.61219788,48.72840118,Other
BDF,-89.61569977,41.23089981,Other
BDG,-109.4830017,37.58330154,Other
BDH,54.82484,26.532283,Atlantic
BDI,55.206106,-3.723683,Other
BDJ,114.763,-3.44236,Pacific
BDK,-2.76194,8.01722,Other
BDL,-72.688066,41.93851,Domestic
BDM,27.977699,40.318001,Other
BDN,68.83840179,24.84149933,Other
BDO,107.575996,-6.90063,Other
BDP,88.07959747,26.57080078,Atlantic
BDQ,73.226303,22.336201,Atlantic
BDR,-73.126198,41.163502,Other
BDS,17.947001,40.6576,Atlantic
BDT,20.975271,4.252745,Other
BDU,18.5404,69.055801,Atlantic
BDV,29.737072,-7.08488,Other
BDW,127.4629974,-17.2866993,Other
BDX,-105.457145,45.470462,Other
BDY,-124.4079971,43.08649826,Other
BDZ,146.9422222,-6.347222222,Other
BEB,-7.362780094,57.48109818,Atlantic
BEC,-97.21499634,37.69449997,Other
BED,-71.289001,42.470001,Other
BEE,122.6464,-17.0165,Other
BEF,-83.774101,11.991,Central
BEG,20.309099,44.818401,Atlantic
BEH,-86.42849731,42.12860107,Other
BEI,34.5219,9.38639,Other
BEJ,117.430705,2.14776,Pacific
BEK,79.450798,28.4221,Atlantic
BEL,-48.476207,-1.379279,South
BEM,-6.315905,32.401895,Atlantic
BEN,20.269501,32.096802,Atlantic
BEO,151.646283,-33.065975,Other
BEP,76.88279724,15.16279984,Other
BEQ,0.772939,52.342602,Other
BER,13.500672,52.362247,Atlantic
BES,-4.41854,48.447899,Atlantic
BET,-161.8379974,60.77980042,Domestic
BEU,139.460007,-24.3461,Pacific
BEV,34.72299957,31.28700066,Other
BEW,34.9076,-19.7964,Atlantic
BEX,-1.095991,51.614366,Other
BEY,35.48839951,33.82089996,Atlantic
BEZ,176.007004,-1.35472,Pacific
BFA,-58.170455,-20.230777,Other
BFC,145.3300018,-15.87360001,Other
BFD,-78.64009857,41.80310059,Domestic
BFE,8.544444,51.964722,Other
BFF,-103.5960007,41.87400055,Domestic
BFG,-110.712898,37.547827,Other
BFH,-49.231998,-25.4051,Other
BFI,-122.302002,47.529999,Domestic
BFJ,105.472097,27.267066,Pacific
BFK,-104.751999,39.701698,Other
BFL,-119.056999,35.433601,Domestic
BFM,-88.06809998,30.62680054,Domestic
BFN,26.302401,-29.092699,Atlantic
BFO,31.5786,-21.008101,Other
BFP,-80.391403,40.772499,Other
BFQ,-78.179939,7.58737,Other
BFR,-86.44539642,38.84000015,Other
BFS,-6.215829849,54.65750122,Atlantic
BFT,-80.634399,32.412201,Other
BFU,117.320244,32.847733,Other
BFV,103.252998,15.2295,Pacific
BFW,-0.593275011,35.17179871,Other
BFX,10.35459995,5.536920071,Atlantic
BFY,117.057295,33.165808,Other
BGA,-73.1848,7.1265,Central
BGB,11.9438,-0.1075,Other
BGC,-6.70713,41.8578,Atlantic
BGD,-101.3939972,35.70090103,Other
BGE,-84.63739777,30.9715004,Other
BGF,18.51880074,4.398479939,Atlantic
BGG,40.594489,38.860131,Atlantic
BGH,-14.20000076,16.63331413,Other
BGI,-59.4925,13.0746,Caribbean
BGJ,-13.81578,65.516769,Other
BGK,-88.407913,16.519369,Other
BGL,83.666298,28.212799,Other
BGM,-75.97979736,42.20869827,Domestic
BGN,146.22784,68.556227,Pacific
BGO,5.21814,60.2934,Atlantic
BGQ,-149.812936,61.534658,Other
BGR,-68.828102,44.8074,Domestic
BGS,97.472336,58.380615,Atlantic
BGT,-113.171993,34.592796,Other
BGU,22.78100014,4.784999847,Other
BGV,-51.540791,-29.147424,Other
BGW,44.2346,33.262501,Atlantic
BGX,-54.112202,-31.390499,Other
BGY,9.709223,45.670725,Atlantic
BHA,-80.402702,-0.608111,Other
BHB,-68.3615036,44.45000076,Domestic
BHC,73.45200348,33.96099854,Other
BHD,-5.8725,54.618099,Atlantic
BHE,173.8699951,-41.5182991,Pacific
BHF,-77.493643,6.694817,Other
BHG,-84.543602,15.7631,Other
BHH,42.620899,19.9844,Atlantic
BHI,-62.1693,-38.725,South
BHJ,69.67019653,23.28779984,Atlantic
BHK,64.483299,39.775002,Atlantic
BHL,-113.560997,28.9786,Other
BHM,-86.753502,33.562901,Domestic
BHN,45.719703,14.781714,Other
BHO,77.33740234,23.28750038,Atlantic
BHP,87.050797,27.1474,Other
BHQ,141.4720001,-32.00139999,Pacific
BHR,84.429398,27.678101,Atlantic
BHS,149.651161,-33.406817,Other
BHT,141.562778,-23.363333,Other
BHU,72.18520355,21.75219917,Atlantic
BHV,71.71800232,29.34810066,Other
BHW,72.9484024,32.05609894,Other
BHX,-1.74803,52.453899,Atlantic
BHY,109.293999,21.5394,Pacific
BIA,9.48373,42.5527,Atlantic
BIB,43.627137,3.10192,Other
BIC,-3.201255,47.325256,Other
BID,-71.578631,41.168446,Other
